               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0995,             0.03724,            0.025691,           0.0022863,               0.177,           0.0013468,          0.00032296,            0.096418,            0.030388,            0.032619,            0.070102,            0.003322,            0.003322
                   1,             0.08212,            0.037995,            0.020804,             0.19089,             0.18918,              0.0692,            0.019585,            0.070163,            0.033284,            0.035461,             0.04008,           0.0066334,           0.0066334
                   2,            0.064447,            0.031891,            0.013632,             0.48219,             0.37879,             0.36247,             0.13209,            0.056791,            0.030393,            0.015506,            0.010036,           0.0099227,           0.0099227
                   3,            0.054375,             0.02819,            0.010116,             0.69501,             0.50443,             0.56394,             0.22863,            0.048775,            0.023421,            0.012602,            0.009901,            0.009901,            0.009901
                   4,            0.049826,            0.026629,           0.0087908,             0.73059,             0.58632,             0.63682,             0.27983,             0.04393,            0.021776,             0.01182,            0.009901,            0.009901,            0.009901
                   5,            0.047452,            0.025877,           0.0079709,              0.7786,             0.61835,             0.68472,             0.28669,            0.043678,            0.020789,           0.0096725,            0.009868,            0.009868,            0.009868
                   6,            0.046242,              0.0249,           0.0072053,             0.76874,             0.62346,             0.69631,             0.32166,            0.041055,            0.020714,            0.011993,            0.009835,            0.009835,            0.009835
                   7,            0.045157,            0.024511,           0.0069324,             0.78077,             0.61587,             0.69953,             0.30509,            0.041795,            0.020744,            0.011069,            0.009802,            0.009802,            0.009802
                   8,            0.044178,            0.024146,           0.0064319,             0.80453,             0.64126,             0.72096,             0.32864,            0.040773,            0.020394,           0.0099947,            0.009769,            0.009769,            0.009769
                   9,            0.043529,            0.023669,           0.0062303,              0.8132,             0.66259,             0.73108,             0.33725,            0.039833,            0.019751,           0.0092097,            0.009736,            0.009736,            0.009736
                  10,            0.042954,            0.023433,           0.0057854,             0.81265,             0.68486,             0.75504,             0.35363,            0.038567,            0.019378,           0.0090827,            0.009703,            0.009703,            0.009703
