               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096127,            0.039428,            0.025032,           0.0034507,             0.18793,           0.0039955,           0.0011138,            0.087351,            0.029479,            0.034588,            0.070204,           0.0033107,           0.0033107
                   1,            0.079534,            0.039055,            0.018884,             0.11511,             0.15265,            0.045466,            0.012161,            0.072114,            0.035625,            0.029376,            0.040182,           0.0066221,           0.0066221
                   2,            0.067062,            0.032632,            0.013211,             0.30483,             0.34347,             0.19028,            0.062007,            0.058955,            0.042858,            0.021022,            0.010138,           0.0099115,           0.0099115
                   3,            0.057668,            0.029033,            0.010277,             0.57961,             0.49271,             0.45883,             0.16958,            0.049691,            0.028643,            0.012561,            0.009901,            0.009901,            0.009901
                   4,            0.052066,            0.027257,           0.0084384,             0.68019,             0.53723,             0.57875,              0.2339,            0.045845,            0.022514,            0.014135,            0.009901,            0.009901,            0.009901
                   5,            0.049229,            0.026197,           0.0073919,              0.7302,             0.57614,             0.63537,             0.26854,            0.043755,            0.021402,            0.010458,            0.009868,            0.009868,            0.009868
                   6,            0.047102,            0.024827,           0.0065868,             0.75454,             0.53879,             0.61447,             0.27759,            0.043114,            0.021344,            0.011512,            0.009835,            0.009835,            0.009835
                   7,            0.045749,            0.024359,           0.0062437,             0.76806,              0.6218,             0.69446,             0.31719,            0.041907,            0.019987,            0.011916,            0.009802,            0.009802,            0.009802
                   8,            0.044437,            0.023688,           0.0057866,             0.79089,             0.65991,             0.73761,             0.33233,            0.040459,            0.019546,           0.0096901,            0.009769,            0.009769,            0.009769
                   9,            0.043601,            0.023392,           0.0056196,               0.818,             0.67473,             0.75229,             0.35614,            0.038994,               0.019,           0.0093913,            0.009736,            0.009736,            0.009736
                  10,             0.04255,            0.023063,           0.0051774,             0.81774,             0.66867,              0.7511,             0.35248,            0.039614,            0.019251,            0.010314,            0.009703,            0.009703,            0.009703
                  11,            0.042007,            0.022836,           0.0049745,             0.81927,             0.69952,             0.76819,             0.35994,             0.03826,              0.0186,           0.0093069,             0.00967,             0.00967,             0.00967
                  12,            0.041445,            0.022599,           0.0047958,              0.8357,             0.69695,             0.77344,             0.36371,            0.038082,            0.018627,           0.0089354,            0.009637,            0.009637,            0.009637
                  13,            0.040823,            0.021999,           0.0047354,             0.83047,             0.71392,             0.77988,              0.3753,            0.037771,            0.018418,           0.0093924,            0.009604,            0.009604,            0.009604
                  14,            0.040582,            0.022004,           0.0044058,             0.82043,              0.7115,             0.78387,              0.3843,            0.037453,            0.018292,           0.0090768,            0.009571,            0.009571,            0.009571
                  15,            0.040389,            0.022054,           0.0045508,             0.84949,             0.71933,             0.79457,             0.38697,            0.037441,            0.018061,           0.0089931,            0.009538,            0.009538,            0.009538
                  16,            0.039849,            0.021763,           0.0042769,             0.82965,             0.72947,             0.79118,             0.38489,             0.03739,            0.018028,           0.0097125,            0.009505,            0.009505,            0.009505
                  17,            0.039399,            0.021425,           0.0040733,             0.84624,             0.74136,             0.80824,             0.39776,            0.036394,            0.017705,           0.0087117,            0.009472,            0.009472,            0.009472
                  18,            0.038918,            0.021214,           0.0040076,             0.84643,             0.73628,             0.80628,             0.40459,            0.036312,            0.017762,           0.0085759,            0.009439,            0.009439,            0.009439
                  19,            0.039085,            0.021406,           0.0041026,             0.83464,              0.7523,             0.81133,             0.40482,            0.036036,            0.017596,           0.0090523,            0.009406,            0.009406,            0.009406
                  20,            0.038651,            0.020931,           0.0039348,             0.83734,              0.7525,             0.81058,              0.4116,            0.035899,            0.017549,           0.0080496,            0.009373,            0.009373,            0.009373
                  21,            0.038437,            0.021027,           0.0038022,             0.85689,             0.75828,             0.82259,             0.41208,            0.035775,            0.017526,           0.0081031,             0.00934,             0.00934,             0.00934
                  22,            0.038251,            0.021034,           0.0037208,             0.84578,             0.74344,             0.81215,             0.40137,            0.036139,            0.017534,           0.0082498,            0.009307,            0.009307,            0.009307
                  23,            0.038171,            0.020972,           0.0037411,             0.85604,             0.76449,             0.82208,             0.41402,            0.035852,             0.01728,           0.0081923,            0.009274,            0.009274,            0.009274
                  24,            0.037877,            0.020903,            0.003556,             0.84387,             0.76486,             0.82417,             0.41779,            0.035172,            0.017336,           0.0081193,            0.009241,            0.009241,            0.009241
                  25,            0.037599,            0.020656,           0.0035546,              0.8596,             0.76258,             0.83004,             0.42959,            0.035266,            0.017319,           0.0075968,            0.009208,            0.009208,            0.009208
                  26,            0.037514,            0.020621,            0.003636,             0.87126,             0.75532,             0.82985,              0.4188,            0.035249,            0.017287,            0.007972,            0.009175,            0.009175,            0.009175
                  27,            0.037444,            0.020603,           0.0033981,             0.87341,             0.76994,              0.8398,             0.43652,            0.034726,            0.017016,             0.00734,            0.009142,            0.009142,            0.009142
                  28,            0.037085,            0.020126,           0.0035156,             0.86847,              0.7748,             0.84043,             0.42774,            0.035195,            0.017162,           0.0072008,            0.009109,            0.009109,            0.009109
                  29,            0.036931,             0.02048,           0.0034484,             0.86137,             0.79121,             0.84136,             0.43833,            0.034599,             0.01672,           0.0074967,            0.009076,            0.009076,            0.009076
                  30,             0.03709,            0.020416,           0.0033316,             0.86812,             0.76827,             0.83494,             0.42862,            0.035125,            0.017205,           0.0079586,            0.009043,            0.009043,            0.009043
                  31,             0.03696,            0.020245,            0.003387,             0.87125,             0.78463,             0.84792,             0.43342,            0.034824,            0.016853,           0.0074119,             0.00901,             0.00901,             0.00901
                  32,            0.036868,            0.020229,           0.0033114,             0.85932,             0.79552,             0.84999,             0.44038,            0.034426,            0.017019,           0.0071424,            0.008977,            0.008977,            0.008977
                  33,            0.036492,            0.020057,           0.0032744,             0.85845,              0.7958,             0.84527,             0.43972,            0.034072,             0.01667,           0.0069635,            0.008944,            0.008944,            0.008944
                  34,            0.036557,            0.020174,           0.0032562,              0.8631,              0.7934,             0.84551,             0.44954,            0.033788,            0.016665,           0.0077221,            0.008911,            0.008911,            0.008911
